,Mass_Density,Mass_Ratios,HI_Density,HI_Ratios,OVI_Density,OVI_Ratios
local,"[4.36469382e+06 1.15749700e+06 6.93016431e+05 4.66072481e+05
 3.59250245e+05 2.42244691e+05 1.98218600e+05 2.10890749e+05
 1.57338556e+05 1.27732723e+05 1.15012832e+05 1.00454046e+05
 9.59271817e+04 9.44392210e+04 6.40991902e+04 5.54070964e+04
 4.12011547e+04 2.28048760e+04 1.22110275e+04 9.98680598e+03
 7.66285765e+03 5.65935870e+03 4.81019969e+03 3.78452405e+03
 3.50118568e+03 3.07084898e+03 2.82547769e+03 2.60092820e+03
 2.44120787e+03 2.28201919e+03 2.14214250e+03 2.00496538e+03
 1.88408452e+03 1.74544265e+03 1.64360538e+03 1.54558279e+03
 1.46411570e+03 1.37352124e+03 1.29288512e+03 1.23366287e+03
 1.16661253e+03 1.10508536e+03 1.04303114e+03 9.86650098e+02
 9.39783642e+02 8.85771562e+02 8.42755449e+02 7.97005514e+02
 7.68080927e+02 7.25931203e+02 6.98926986e+02 6.70120766e+02
 6.43657443e+02 6.11019171e+02 5.84655605e+02 5.64268052e+02
 5.35551517e+02 5.13870530e+02 4.89048079e+02 4.64404151e+02
 4.47778544e+02 4.31218817e+02 4.04501867e+02 3.89493715e+02
 3.75388431e+02 3.55078598e+02 3.39738639e+02 3.26836587e+02
 3.14386889e+02 3.01294428e+02 2.86801873e+02 2.78822655e+02
 2.68394859e+02 2.58977099e+02 2.49673440e+02 2.39068681e+02
 2.31013381e+02 2.21828101e+02 2.13617544e+02 2.04862053e+02
 1.98600607e+02 1.88995475e+02 1.84803080e+02 1.77638325e+02
 1.71867393e+02 1.66719109e+02 1.59914874e+02 1.56225391e+02
 1.52310912e+02 1.46623881e+02 1.43840274e+02 1.37943214e+02
 1.35526124e+02 1.29705953e+02 1.27359560e+02 1.24432049e+02
 1.20850059e+02 1.15847041e+02 1.14180808e+02 1.08444554e+02]","[0.95141185 0.95483057 0.95242608 0.95037063 0.94726791 0.94200825
 0.93348066 0.9262604  0.91921976 0.91424262 0.9064674  0.90342031
 0.89932555 0.89640097 0.89494742 0.89591002 0.89720801 0.89541033
 0.89188839 0.89155583 0.89483638 0.89884222 0.89858472 0.89874144
 0.89967444 0.89262429 0.76038721 0.67433115 0.7368912  0.84113022
 0.86438465 0.88492222 0.88473278 0.89310997 0.89386754 0.87380178
 0.82778918 0.64478841 0.49194087 0.68312498 0.83485371 0.87810216
 0.90878789 0.92528737 0.94517206 0.95054832 0.95181    0.95208874
 0.95668495 0.95415601 0.95936639 0.95456067 0.95677456 0.95290357
 0.95352353 0.95724089 0.95398367 0.95383332 0.95822925 0.95290809
 0.95768509 0.95738949 0.95599266 0.959052   0.95973974 0.95492847
 0.95509203 0.95907211 0.95547286 0.95870777 0.95452474 0.95810543
 0.95647586 0.95666044 0.95836065 0.95921461 0.95790457 0.95731643
 0.95626211 0.95765053 0.95855974 0.95990508 0.95884075 0.95744476
 0.95576483 0.95888702 0.95708699 0.95611553 0.96059898 0.95998987
 0.96085464 0.96150829 0.95766772 0.95705784 0.9552629  0.95998732
 0.95815418 0.95730205 0.95879461 0.95860507]","[1.48047525e+06 4.80608417e+05 3.04860570e+05 2.09931220e+05
 1.71189013e+05 1.12710961e+05 8.65772968e+04 9.85671366e+04
 7.02211071e+04 5.46133389e+04 4.76156985e+04 4.11235038e+04
 3.93083217e+04 3.93399188e+04 2.28148591e+04 1.90844281e+04
 1.29793575e+04 5.11076683e+03 1.57675439e+03 1.30781228e+03
 7.52075950e+02 2.29090633e+02 1.39317960e+02 2.84150299e+01
 2.65484199e+01 4.36802520e+00 2.00936898e+00 1.86033340e+00
 1.11070602e+00 5.29015241e-01 2.90019396e-01 2.49948712e-01
 1.76605613e-01 9.39805503e-02 6.72110770e-02 5.95960332e-02
 3.78798093e-02 3.59974268e-02 2.78907760e-02 1.40918807e-02
 1.04005005e-02 1.05299302e-02 3.14450968e-03 2.47438629e-03
 1.81172013e-03 1.42010397e-03 8.02001712e-03 2.66681312e-03
 9.35448696e-04 1.12447897e-03 3.67962412e-04 9.14686153e-04
 3.61042374e-04 4.50482043e-04 3.88576808e-04 3.79616234e-04
 3.83151311e-04 3.11011251e-04 3.25567855e-04 3.10720984e-04
 2.95314629e-04 5.12315027e-02 2.79868924e-04 2.75114510e-04
 2.88089353e-04 2.68548253e-04 2.60780314e-04 2.55572401e-04
 2.50826878e-04 2.44224795e-04 2.36665947e-04 2.36682665e-04
 2.33172612e-04 2.35049983e-04 2.31050467e-04 2.26499495e-04
 2.22828287e-04 2.18953072e-04 2.14841905e-04 2.09416086e-04
 2.06293768e-04 2.03094348e-04 9.38672062e-04 1.97496093e-04
 1.08252083e-03 1.95244818e-04 1.90806312e-04 1.87904554e-04
 1.89087625e-04 1.85404148e-04 1.83354795e-04 1.79926492e-04
 1.80764084e-04 1.74258394e-04 1.77014488e-04 1.78605638e-04
 1.76272052e-04 1.74064133e-04 1.73966724e-04 1.71174249e-04]","[9.52136449e-01 9.54902347e-01 9.52371618e-01 9.50338933e-01
 9.47171364e-01 9.41330813e-01 9.32286799e-01 9.25328152e-01
 9.18528368e-01 9.12333023e-01 9.04674920e-01 9.01179301e-01
 8.97873234e-01 8.94718350e-01 8.92954791e-01 8.93859223e-01
 8.95707389e-01 8.88311040e-01 8.76774458e-01 8.75381217e-01
 8.72148267e-01 8.43489656e-01 8.20900830e-01 7.33950920e-01
 7.45487665e-01 2.94323267e-01 8.78049366e-03 4.99120084e-03
 5.67589542e-03 1.85626305e-02 4.03990782e-02 8.11639736e-02
 6.43535617e-02 5.57361463e-02 5.28240155e-02 2.14378832e-02
 1.48010406e-03 1.45829528e-04 4.75059224e-05 8.84358135e-05
 7.43627915e-04 2.92317033e-03 2.96373411e-03 6.42635362e-03
 5.33499836e-02 4.00975648e-02 4.26421505e-01 2.46972020e-01
 1.68473049e-01 2.21229008e-01 5.22737080e-01 2.45399629e-01
 6.02658437e-01 6.85903590e-01 4.60617612e-01 6.49850193e-01
 5.80220020e-01 6.14602284e-01 8.61879627e-01 8.23258394e-01
 8.94325324e-01 9.99511804e-01 9.09590902e-01 8.56119289e-01
 8.96644516e-01 8.88119700e-01 7.84228660e-01 8.14094210e-01
 8.78210413e-01 9.13070586e-01 9.17151764e-01 9.33149483e-01
 9.27731116e-01 9.05812139e-01 9.25170111e-01 9.30538849e-01
 9.45804251e-01 9.37619788e-01 9.16805653e-01 9.21457803e-01
 9.38890045e-01 9.42280218e-01 9.87574031e-01 9.42122420e-01
 9.88849639e-01 9.46157401e-01 9.44730720e-01 9.41938396e-01
 9.52048194e-01 9.49812022e-01 9.48108996e-01 9.46459570e-01
 9.47356392e-01 9.45898845e-01 9.43590790e-01 9.54227329e-01
 9.51322027e-01 9.52797031e-01 9.53647317e-01 9.54980905e-01]","[7.73015641e+02 1.11522405e+02 3.44378702e+01 1.26753749e+01
 4.74938613e+00 1.87426538e+00 1.79795683e+00 1.52687789e+00
 6.49308070e-01 4.57115516e-01 3.90431066e-01 3.22026390e-01
 2.91718700e-01 2.48208525e-01 1.51636922e-01 1.40334393e-01
 1.16265945e-01 9.68922005e-02 7.93710914e-02 7.00753957e-02
 6.26510513e-02 5.15063657e-02 4.48730477e-02 3.79345420e-02
 3.43999665e-02 3.22403730e-02 3.06906239e-02 2.95433340e-02
 2.83809387e-02 2.73648908e-02 2.71524330e-02 2.60296983e-02
 2.44399305e-02 2.27232363e-02 2.16793250e-02 2.04506174e-02
 2.03047770e-02 1.86527846e-02 1.71467889e-02 1.65563206e-02
 1.54888464e-02 1.45386395e-02 1.35280692e-02 1.32164204e-02
 1.31627286e-02 1.22106620e-02 1.16523026e-02 1.13915322e-02
 1.13063132e-02 1.10399136e-02 1.11834464e-02 1.09519921e-02
 1.10024657e-02 1.07482085e-02 1.07379923e-02 1.09109789e-02
 1.08597550e-02 1.08275171e-02 1.06496639e-02 1.02537430e-02
 1.00559084e-02 9.74278955e-03 9.41342737e-03 9.22718762e-03
 9.01732227e-03 8.64319576e-03 8.43898466e-03 8.09022780e-03
 8.01651323e-03 7.76091208e-03 7.44476258e-03 7.26321936e-03
 6.94549502e-03 6.92679911e-03 6.56834585e-03 6.30844622e-03
 6.04516015e-03 5.77242541e-03 5.43147855e-03 5.19825194e-03
 4.96274397e-03 4.61017696e-03 4.45127070e-03 4.16993990e-03
 3.99588602e-03 3.80881362e-03 3.59098775e-03 3.43501655e-03
 3.32193632e-03 3.14925465e-03 3.04303044e-03 2.85949670e-03
 2.76534457e-03 2.61473212e-03 2.51734716e-03 2.47244273e-03
 2.33924511e-03 2.26163033e-03 2.17420346e-03 2.04803246e-03]","[0.95035954 0.96352709 0.96063687 0.95774663 0.93023153 0.96309183
 0.93626287 0.92999506 0.92326159 0.91710785 0.89893514 0.91531033
 0.92223469 0.92104738 0.92001722 0.90750453 0.9242595  0.90714458
 0.92252968 0.9231727  0.92429049 0.92925933 0.92434533 0.91893564
 0.92335867 0.91620842 0.880564   0.82122447 0.88762412 0.88388106
 0.8891769  0.88198907 0.87398946 0.88222087 0.85676264 0.85988523
 0.85399851 0.78825112 0.65616755 0.82526511 0.85013502 0.86984516
 0.87398114 0.8794266  0.90439081 0.90225096 0.90290683 0.90832096
 0.9140217  0.90527033 0.91382467 0.90666794 0.90274369 0.89309861
 0.88998575 0.90267882 0.90222077 0.89226414 0.90578109 0.89924835
 0.90660938 0.90498772 0.90476156 0.91470005 0.9125164  0.90380449
 0.90629378 0.90775205 0.90134114 0.91165387 0.90241878 0.90678113
 0.89718915 0.90230938 0.90686479 0.91424316 0.90869331 0.90511036
 0.90042573 0.90911782 0.90961575 0.90920653 0.9087744  0.90674808
 0.90346258 0.90979986 0.90050179 0.89486593 0.91392963 0.90874822
 0.91177573 0.91157652 0.90523243 0.90203375 0.89245974 0.91093258
 0.90446644 0.90634299 0.90938785 0.91604524]"
h8,"[6.97558108e+04 1.88553807e+04 1.19852727e+04 8.75813081e+03
 7.19189609e+03 5.48195513e+03 5.13733692e+03 6.29227979e+03
 5.09328244e+03 4.48615218e+03 4.62329894e+03 4.34945998e+03
 4.28750004e+03 4.46284902e+03 3.07685832e+03 2.63665514e+03
 1.93956761e+03 1.18583863e+03 7.25423778e+02 6.29881666e+02
 4.79663825e+02 3.52235709e+02 2.98606850e+02 2.19731885e+02
 2.11207292e+02 1.67023504e+02 1.68251930e+02 1.70623130e+02
 1.22573277e+02 1.09915797e+02 9.89884585e+01 9.10642415e+01
 8.93071735e+01 8.21577956e+01 8.88563887e+01 1.21047507e+02
 2.18702715e+02 6.80085850e+02 1.26487040e+03 5.11478332e+02
 1.71939673e+02 9.27895761e+01 5.08175785e+01 3.12725444e+01
 2.06342415e+01 1.67919891e+01 1.27436830e+01 1.02979727e+01
 9.56804258e+00 9.80498242e+00 8.23854581e+00 9.16586288e+00
 8.49205138e+00 8.32152835e+00 8.43785326e+00 7.78535334e+00
 7.24644820e+00 6.57280676e+00 6.42407874e+00 6.20403941e+00
 4.99780687e+00 5.24369967e+00 5.10408245e+00 4.65628540e+00
 4.97407897e+00 4.85675316e+00 4.92576138e+00 4.39988601e+00
 4.41898027e+00 3.55775759e+00 4.26569401e+00 3.90018036e+00
 3.99528680e+00 3.97411957e+00 3.57997852e+00 3.34557428e+00
 3.34079845e+00 3.22741563e+00 3.22443316e+00 2.90313636e+00
 2.98876401e+00 2.42126054e+00 2.47862168e+00 2.57011260e+00
 2.56908072e+00 1.99500893e+00 2.13981208e+00 2.28327116e+00
 2.01284607e+00 2.07794283e+00 1.70733609e+00 1.70593305e+00
 1.73368583e+00 1.55560392e+00 1.38644033e+00 1.36868179e+00
 1.57869476e+00 1.33979986e+00 1.15230513e+00 1.19823679e+00]","[0.01520531 0.01555399 0.0164716  0.01785875 0.01896353 0.02131748
 0.02419351 0.02763654 0.02975651 0.03210948 0.03643828 0.0391163
 0.04019568 0.0423606  0.04295883 0.04263363 0.04223657 0.04656075
 0.05298465 0.05623166 0.05601313 0.0559435  0.05578221 0.0521815
 0.05427241 0.04854984 0.04527964 0.0442367  0.03699938 0.0405139
 0.03994324 0.0401926  0.04193707 0.04203859 0.04832416 0.06843472
 0.12365125 0.31926079 0.48128132 0.28322456 0.12304383 0.07373071
 0.04427711 0.02932761 0.02075255 0.01801999 0.01439275 0.01230178
 0.0119175  0.01288756 0.01130845 0.01305641 0.01262314 0.01297768
 0.01376142 0.0132073  0.01290818 0.01220028 0.01258719 0.01273003
 0.01068905 0.01164203 0.0120629  0.01146519 0.01271702 0.01306148
 0.01384757 0.01291106 0.01343    0.01132065 0.01419695 0.01340201
 0.01423796 0.01468038 0.01374159 0.01342344 0.01385273 0.01392816
 0.01443422 0.01357103 0.01442548 0.01229754 0.01286019 0.01385253
 0.01428681 0.01147432 0.01280673 0.01397386 0.01269468 0.01360491
 0.01140502 0.0118909  0.01225074 0.01147829 0.01039902 0.01055931
 0.01251661 0.01107144 0.00967609 0.01059192]","[2.14244349e+04 8.01167037e+03 5.44354526e+03 3.95653696e+03
 3.48845709e+03 2.60694487e+03 2.31888707e+03 3.02158325e+03
 2.33759866e+03 1.98112011e+03 1.96874835e+03 1.83973028e+03
 1.81195829e+03 1.91742567e+03 1.12506065e+03 9.43780109e+02
 6.30110186e+02 3.01125423e+02 1.16163198e+02 1.02581409e+02
 6.16695000e+01 2.75487979e+01 1.95933169e+01 7.53875321e+00
 6.59480211e+00 4.80873021e+00 5.81948083e+00 7.83939803e+00
 3.74176970e+00 1.92782951e+00 1.55360466e+00 1.38517466e+00
 1.20063751e+00 9.84039741e-01 9.76902106e-01 2.41409085e+00
 2.53244859e+01 2.46675696e+02 5.86926596e+02 1.59159649e+02
 1.38352941e+01 3.35147082e+00 6.36546747e-01 9.96059147e-02
 2.72526298e-02 2.91155438e-02 6.19749068e-03 6.25707839e-04
 5.14956169e-04 5.86043727e-04 2.35099750e-05 6.60969257e-04
 1.76600730e-05 5.55537705e-05 3.76992940e-05 2.77651463e-05
 1.46458007e-05 8.44329207e-06 1.08052797e-05 9.81527225e-06
 1.34971215e-05 4.72885843e-06 4.83767173e-06 6.98186743e-06
 1.59574580e-05 1.42990406e-05 5.99076938e-06 4.35625624e-06
 5.60582672e-06 3.93073499e-06 5.33408045e-06 3.89853821e-06
 5.22396661e-06 4.77215924e-06 4.65166076e-06 4.33063999e-06
 3.68149131e-06 4.00945618e-06 4.32682276e-06 3.80329526e-06
 3.99007902e-06 2.72719218e-06 3.47333018e-06 3.54949809e-06
 3.67574536e-06 2.74033647e-06 2.92039613e-06 3.27055096e-06
 2.67297634e-06 3.04244276e-06 2.47749788e-06 2.36286056e-06
 2.21996391e-06 1.95140754e-06 2.01953523e-06 1.93370608e-06
 2.11129341e-06 2.07283355e-06 1.67617451e-06 1.57139400e-06]","[1.37786737e-02 1.59180792e-02 1.70054068e-02 1.79108716e-02
 1.93012776e-02 2.17724835e-02 2.49703778e-02 2.83660066e-02
 3.05769985e-02 3.30952352e-02 3.74052532e-02 4.03157973e-02
 4.13884078e-02 4.36085276e-02 4.40339471e-02 4.42039211e-02
 4.34839977e-02 5.23391199e-02 6.45940330e-02 6.86626359e-02
 7.15153138e-02 1.01432022e-01 1.15449366e-01 1.94723528e-01
 1.85184039e-01 3.24018549e-01 2.54298315e-02 2.10327944e-02
 1.91210754e-02 6.76456631e-02 2.16413788e-01 4.49797394e-01
 4.37501950e-01 5.83595040e-01 7.67788501e-01 8.68396686e-01
 9.89521201e-01 9.99310326e-01 9.99702886e-01 9.98831407e-01
 9.89213055e-01 9.30387939e-01 5.99952140e-01 2.58691552e-01
 8.02512116e-01 8.22096427e-01 3.29518412e-01 5.79464409e-02
 9.27429117e-02 1.15297730e-01 3.33988887e-02 1.77330345e-01
 2.94785121e-02 8.45861255e-02 4.46886135e-02 4.75300688e-02
 2.21786708e-02 1.66851410e-02 2.86049446e-02 2.60056632e-02
 4.08744315e-02 9.22586605e-05 1.57227252e-02 2.17266308e-02
 4.96657273e-02 4.72885583e-02 1.80156737e-02 1.38763144e-02
 1.96274635e-02 1.46956352e-02 2.06711670e-02 1.53704494e-02
 2.07847582e-02 1.83904705e-02 1.86261363e-02 1.77917781e-02
 1.56262483e-02 1.71696401e-02 1.84640681e-02 1.67349899e-02
 1.81597607e-02 1.26531303e-02 3.65428016e-03 1.69322931e-02
 3.35768087e-03 1.32796847e-02 1.44596261e-02 1.63947997e-02
 1.34583228e-02 1.55862139e-02 1.28108896e-02 1.24292536e-02
 1.16344849e-02 1.05925121e-02 1.07653044e-02 1.03311139e-02
 1.13944321e-02 1.13463332e-02 9.18841995e-03 8.76680500e-03]","[1.93901104e+01 1.17961602e+00 3.67342836e-01 1.94855471e-01
 1.26974595e-01 1.95491894e-02 4.81608030e-02 3.21408476e-02
 1.70493739e-02 1.35806923e-02 1.63066242e-02 1.17440548e-02
 9.98460943e-03 8.40845081e-03 4.69415705e-03 4.56114755e-03
 2.63659531e-03 4.04198983e-03 2.47546592e-03 2.33179932e-03
 2.06468413e-03 1.52664947e-03 1.74371173e-03 1.62310226e-03
 1.29882271e-03 1.21628710e-03 1.36030508e-03 1.71580786e-03
 1.47510670e-03 1.33819378e-03 1.10134940e-03 1.24561779e-03
 1.32592263e-03 1.13203492e-03 1.63132084e-03 1.59018106e-03
 1.78209863e-03 3.53834881e-03 7.73018581e-03 2.40482080e-03
 1.67367990e-03 1.17481271e-03 1.08596493e-03 8.53710611e-04
 5.34597635e-04 4.26562405e-04 3.51241037e-04 3.52447083e-04
 3.43075036e-04 3.86068294e-04 3.47574951e-04 4.19444126e-04
 4.01536248e-04 4.03456069e-04 4.93062383e-04 4.62961364e-04
 3.52752569e-04 3.65466195e-04 3.66375689e-04 3.48258066e-04
 3.00490865e-04 3.53417329e-04 3.11882407e-04 2.84057616e-04
 3.32209338e-04 3.13800910e-04 3.16443608e-04 3.17387824e-04
 3.35229558e-04 2.41094857e-04 3.01237187e-04 2.75536788e-04
 3.09230713e-04 2.73612945e-04 2.70885848e-04 2.30185593e-04
 2.20174240e-04 2.23201971e-04 2.18568982e-04 1.89793908e-04
 1.93639786e-04 1.36702645e-04 1.61936320e-04 1.58365547e-04
 1.45259375e-04 1.12522381e-04 1.27407922e-04 1.38007023e-04
 1.07417237e-04 1.16095768e-04 8.53404360e-05 8.01428616e-05
 7.70553989e-05 6.59157893e-05 6.86810885e-05 6.59898865e-05
 6.49757158e-05 6.16446094e-05 4.78707164e-05 4.49150182e-05]","[0.02383856 0.0101916  0.01024695 0.01472321 0.02486969 0.01004536
 0.02507912 0.01957644 0.02424278 0.02724685 0.03754465 0.03338066
 0.03156518 0.03120192 0.02848057 0.02949571 0.02095969 0.03784277
 0.02877232 0.03071911 0.03046027 0.02754326 0.03591893 0.03931843
 0.0348628  0.0345645  0.03902937 0.0476948  0.0461345  0.04322342
 0.03606654 0.04220645 0.04741595 0.04395082 0.06446948 0.0668622
 0.07495328 0.14952767 0.29581615 0.11987052 0.09186313 0.07028891
 0.07015878 0.05680629 0.03673138 0.03151888 0.02721676 0.0281029
 0.02773477 0.03165751 0.02840113 0.03472396 0.03294573 0.03352429
 0.04086597 0.03830137 0.02930643 0.030117   0.03116119 0.03054207
 0.02709132 0.03282821 0.02997625 0.02815891 0.03361824 0.03281363
 0.03398405 0.03561203 0.03769172 0.02832078 0.03651454 0.03439956
 0.03994509 0.03564179 0.03740011 0.03335934 0.03309604 0.03499784
 0.03623417 0.03319289 0.03549202 0.02696012 0.03306103 0.03443638
 0.03284288 0.02687788 0.03194972 0.0359526  0.02955258 0.03350057
 0.02557035 0.02554867 0.025224   0.02273972 0.02434909 0.02431293
 0.02512279 0.02470393 0.02002253 0.02008962]"
