,Mass_Density,Mass_Ratios,HI_Density,HI_Ratios,OVI_Density,OVI_Ratios
local,"[1.04024941e+07 2.01985117e+06 1.66577560e+06 1.21046239e+06
 6.32123436e+05 2.21338633e+05 1.19829798e+05 8.10655331e+04
 6.09022489e+04 4.78012068e+04 4.03854817e+04 3.40427333e+04
 2.94694867e+04 2.52542801e+04 2.16136318e+04 1.85722523e+04
 1.62358641e+04 1.44079049e+04 1.28930534e+04 1.16685731e+04
 1.06623616e+04 9.81418085e+03 9.03204200e+03 8.38353803e+03
 7.78924356e+03 7.22577204e+03 6.69181283e+03 6.20482166e+03
 5.72727618e+03 5.31308248e+03 4.95539253e+03 4.64154499e+03
 4.36836951e+03 4.14155411e+03 3.91474145e+03 3.68949987e+03
 3.49362513e+03 3.29484877e+03 3.09852610e+03 2.92962356e+03
 2.77659828e+03 2.64118654e+03 2.52294737e+03 2.40879243e+03
 2.30499298e+03 2.20376660e+03 2.10625497e+03 2.01885630e+03
 1.93198518e+03 1.84564931e+03 1.77496594e+03 1.70106508e+03
 1.63354895e+03 1.57481375e+03 1.51600233e+03 1.46972755e+03
 1.42187893e+03 1.37512151e+03 1.32640250e+03 1.27938268e+03
 1.23495531e+03 1.19361431e+03 1.15241975e+03 1.10951123e+03
 1.07406761e+03 1.03892989e+03 1.00581228e+03 9.77531334e+02
 9.49993803e+02 9.23582027e+02 8.96872242e+02 8.73341752e+02
 8.44604762e+02 8.16195144e+02 7.92575790e+02 7.66722576e+02
 7.39796781e+02 7.16024827e+02 6.91068063e+02 6.66442236e+02
 6.41611605e+02 6.19324900e+02 5.96576149e+02 5.75154015e+02
 5.53490877e+02 5.35732923e+02 5.17223862e+02 5.00932445e+02
 4.84591603e+02 4.68058347e+02 4.55750423e+02 4.41509902e+02
 4.28036491e+02 4.15073811e+02 4.03158738e+02 3.90375911e+02
 3.79086333e+02 3.68096384e+02 3.58894787e+02 3.49814155e+02]","[0.93340239 0.93480327 0.93292764 0.93277134 0.93255396 0.93199847
 0.93027931 0.93001451 0.92666024 0.92541214 0.92582403 0.92547223
 0.92487923 0.92516767 0.92441146 0.92133606 0.9209416  0.9177521
 0.91511287 0.91277464 0.90864976 0.9082357  0.90731281 0.90282986
 0.90384039 0.9006322  0.89829411 0.8820335  0.891655   0.89025671
 0.88855285 0.88848668 0.88549543 0.88256284 0.88291912 0.88187129
 0.88115459 0.87850774 0.87893825 0.87658017 0.87713022 0.87623897
 0.87307784 0.87164118 0.86662606 0.86379468 0.86227567 0.85813101
 0.8636164  0.86045746 0.8579931  0.85568049 0.8540748  0.85401441
 0.84312544 0.81091214 0.68620447 0.6919263  0.74356887 0.83535319
 0.84304598 0.84726264 0.84836142 0.84886025 0.84869844 0.84495147
 0.84248699 0.84456883 0.84165146 0.83822032 0.82878747 0.82051626
 0.81630066 0.79674998 0.60859205 0.3880797  0.34748511 0.52136562
 0.69541198 0.76871008 0.77099581 0.78237667 0.77892609 0.76299148
 0.75226216 0.73836687 0.66071717 0.54497207 0.54292334 0.62425407
 0.74365328 0.75561502 0.71990891 0.66887254 0.65979951 0.64623955
 0.6605854  0.7588033  0.80704787 0.82283979]","[2.75835582e+06 6.59506679e+05 6.35376656e+05 4.76483343e+05
 2.40850275e+05 6.22183253e+04 2.21355557e+04 9.23112019e+03
 4.51961702e+03 2.21505359e+03 1.32194552e+03 5.75716311e+02
 4.30405118e+02 2.06324839e+02 1.28382833e+02 8.26906095e+01
 4.91022917e+01 3.73459915e+01 3.33442628e+01 2.53679412e+01
 2.30221483e+01 1.68592560e+01 1.32415154e+01 1.14959581e+01
 1.03364216e+01 7.57761822e+00 6.99830786e+00 6.31335868e+00
 5.42578137e+00 4.51581317e+00 4.24648617e+00 3.03593015e+00
 2.54269839e+00 2.49457998e+00 2.19771901e+00 1.50572675e+00
 1.33649233e+00 1.30955162e+00 1.07894620e+00 9.00872911e-01
 6.39718591e-01 5.22203910e-01 5.01073199e-01 4.36610757e-01
 3.31519381e-01 3.77093410e-01 3.55401100e-01 3.17988635e-01
 3.79040191e-01 2.22496082e-01 2.25114719e-01 1.62863985e-01
 1.82644194e-01 1.50084151e-01 1.13522150e-01 1.37923355e-01
 1.18851307e-01 1.18244253e-01 8.38965467e-02 6.12169445e-02
 7.86128450e-02 5.61380733e-02 6.46102630e-02 4.43297437e-02
 3.06338708e-02 3.31344977e-02 2.32924014e-02 1.76697419e-02
 1.33357911e-02 7.15386362e-03 1.33701165e-02 1.30608327e-02
 8.84153010e-03 1.26563680e-02 6.86765023e-03 1.49600337e-02
 1.27867436e-02 8.13404661e-03 7.13237625e-03 5.72774158e-03
 3.79021627e-03 6.84612570e-03 4.39799123e-03 2.52053676e-03
 3.38068420e-03 1.89322851e-03 2.39772407e-03 4.18282159e-03
 9.99082375e-04 1.62355098e-03 2.27742926e-03 4.12750964e-03
 4.17123100e-03 3.22383653e-03 3.10857574e-03 1.68850181e-03
 1.47408529e-03 1.30712608e-03 1.01645544e-03 9.81296786e-04]","[9.33504263e-01 9.33727994e-01 9.32081247e-01 9.31802421e-01
 9.30866711e-01 9.27250414e-01 9.22087632e-01 9.16237908e-01
 8.98749433e-01 8.78108685e-01 8.69839114e-01 8.26274113e-01
 8.20869259e-01 7.60049219e-01 7.47832156e-01 6.50370014e-01
 5.89465511e-01 5.45610759e-01 5.65961560e-01 4.94606950e-01
 4.98965845e-01 4.84752161e-01 4.48667157e-01 4.01362419e-01
 4.75793885e-01 3.95163767e-01 3.94424511e-01 1.52891546e-01
 3.75804512e-01 3.79356771e-01 3.95254238e-01 3.77850161e-01
 3.18593748e-01 3.14777057e-01 3.71549163e-01 3.16186860e-01
 3.13611532e-01 3.43166380e-01 3.38739323e-01 2.94590841e-01
 2.93398689e-01 2.64569429e-01 2.55382346e-01 2.50391488e-01
 1.88383663e-01 2.06573922e-01 2.24554283e-01 1.26403418e-01
 3.26926553e-01 2.41437320e-01 1.86946115e-01 1.77131408e-01
 2.02074544e-01 1.87874780e-01 6.05828220e-02 6.17022495e-03
 6.63068027e-04 8.49777366e-04 1.21544753e-03 2.49613286e-02
 3.41417454e-02 1.09504460e-01 1.30363239e-01 1.03606465e-01
 8.87480049e-02 7.70538650e-02 4.78836091e-02 3.90192709e-02
 3.21887530e-02 1.73565748e-02 1.38777121e-02 6.85567415e-03
 3.47311036e-03 1.68313910e-03 4.63260187e-05 2.75268620e-05
 1.98957271e-05 3.58544027e-05 1.50469392e-04 6.75360991e-04
 5.09384812e-04 1.74994490e-03 1.47194547e-03 7.59223281e-04
 1.07830274e-03 5.75110613e-04 6.30048408e-05 3.42482981e-05
 8.25830711e-06 2.73537515e-05 7.38557248e-04 3.34619252e-03
 4.18566664e-04 1.09463364e-04 9.28890076e-05 3.86404971e-05
 3.51939821e-05 1.71738455e-04 4.87379505e-03 9.75489001e-03]","[1.05972807e+03 2.50085492e+02 1.76438691e+02 1.10268033e+02
 4.18688956e+01 5.47395609e+00 1.26264557e+00 6.52468910e-01
 4.58529812e-01 3.13500618e-01 2.42412650e-01 1.74474587e-01
 1.25797678e-01 9.32775482e-02 6.75098925e-02 5.05373804e-02
 3.61026742e-02 2.95419243e-02 2.40852067e-02 2.05552526e-02
 1.75059856e-02 1.63119099e-02 1.48780709e-02 1.39262042e-02
 1.30661322e-02 1.24459022e-02 1.18373511e-02 1.13268264e-02
 1.06475586e-02 1.01982996e-02 9.92703375e-03 9.48137741e-03
 8.91846799e-03 8.41388058e-03 7.86321233e-03 7.37562844e-03
 7.10593753e-03 6.94437941e-03 6.58750713e-03 6.35080176e-03
 6.11393228e-03 5.85738810e-03 5.65194496e-03 5.39776248e-03
 5.27731735e-03 5.17658974e-03 5.05731027e-03 4.96814339e-03
 4.86605163e-03 4.83195756e-03 4.91311989e-03 4.96338750e-03
 4.91066199e-03 4.83237186e-03 4.80766552e-03 4.86173044e-03
 4.89033627e-03 4.84799809e-03 4.80974594e-03 4.81904654e-03
 4.82744413e-03 4.78539634e-03 4.71285575e-03 4.65992987e-03
 4.68839466e-03 4.68192902e-03 4.70040583e-03 4.78276988e-03
 4.88435996e-03 4.95453001e-03 4.95956931e-03 4.96732518e-03
 4.93460598e-03 4.90756700e-03 4.91142480e-03 4.89352875e-03
 4.87681055e-03 4.88784191e-03 4.90680591e-03 4.92691630e-03
 4.89277864e-03 4.90208345e-03 4.91867947e-03 4.94668218e-03
 4.89815105e-03 4.90195143e-03 4.85876300e-03 4.82779545e-03
 4.87850394e-03 4.82653262e-03 4.81331637e-03 4.71900290e-03
 4.66590870e-03 4.61260777e-03 4.54200522e-03 4.47879239e-03
 4.34488453e-03 4.27271087e-03 4.24800437e-03 4.21084726e-03]","[0.93288686 0.93704015 0.9296796  0.93096384 0.93362426 0.93537004
 0.93406365 0.93606847 0.94243284 0.93947872 0.9373651  0.9399584
 0.93802884 0.94034443 0.93810544 0.93431739 0.93535854 0.93371792
 0.92737542 0.92923967 0.92311281 0.92131511 0.92040476 0.91783833
 0.91610128 0.91123401 0.91004906 0.9006143  0.89709835 0.9006908
 0.90180648 0.90280284 0.90003617 0.89474068 0.88835117 0.88731162
 0.88566501 0.88387785 0.87964847 0.87973018 0.87789637 0.87181
 0.86288845 0.8628533  0.85203708 0.84346343 0.83901244 0.83883916
 0.83108629 0.82435356 0.81976731 0.80786754 0.80453959 0.7949361
 0.7739694  0.7583424  0.73499487 0.74234672 0.75153838 0.75505822
 0.74548953 0.73691513 0.73193193 0.72844403 0.72488203 0.71633385
 0.71417439 0.71587153 0.70661507 0.69183943 0.6864938  0.67369411
 0.66260275 0.64562512 0.61092691 0.40957171 0.33074296 0.5891097
 0.64190488 0.66184915 0.66086967 0.66419732 0.65720215 0.66187239
 0.65958454 0.64918651 0.62246182 0.53777333 0.52606345 0.59448206
 0.6249333  0.62287386 0.61894199 0.62457653 0.61721266 0.61880567
 0.61041978 0.63665924 0.65695912 0.67321529]"
h2,"[2.66571338e+04 4.76534423e+03 4.06042662e+03 2.94647815e+03
 1.65274900e+03 6.85018208e+02 4.07037034e+02 3.50100336e+02
 3.03624424e+02 2.53968551e+02 1.97763781e+02 1.71942906e+02
 1.47613675e+02 1.28504383e+02 1.14509363e+02 1.08507382e+02
 9.76967020e+01 9.55753037e+01 9.49029611e+01 9.95572624e+01
 1.05539867e+02 1.04535353e+02 1.08072066e+02 1.02900903e+02
 1.02678534e+02 9.63320657e+01 9.38016337e+01 9.43197769e+01
 8.73836038e+01 8.57361505e+01 8.41578247e+01 8.12121857e+01
 8.10498697e+01 8.59941099e+01 7.68658752e+01 7.42175787e+01
 6.95360715e+01 6.99134690e+01 6.82141146e+01 7.14378500e+01
 6.91859036e+01 6.88233731e+01 7.15456809e+01 7.19683904e+01
 7.90917487e+01 8.50670144e+01 8.01686304e+01 8.13685172e+01
 7.34369165e+01 7.48503511e+01 7.73628835e+01 7.67937894e+01
 7.36141344e+01 7.06962500e+01 7.40269382e+01 6.89208551e+01
 6.63808404e+01 6.62132674e+01 5.99763070e+01 5.79680421e+01
 5.85682945e+01 5.84977275e+01 5.79289451e+01 5.74675281e+01
 5.62464561e+01 6.04758918e+01 6.30445413e+01 5.96900989e+01
 6.33320866e+01 6.78243448e+01 7.74112924e+01 8.90426323e+01
 8.97071163e+01 1.11767345e+02 4.14607877e+02 1.11726943e+03
 1.30066901e+03 5.72127383e+02 2.19618563e+02 1.19655883e+02
 1.07804836e+02 9.57520090e+01 9.31820319e+01 1.01182990e+02
 1.03870261e+02 1.04969526e+02 1.00266150e+02 9.52526459e+01
 8.56035724e+01 7.82076210e+01 6.93659334e+01 6.29084952e+01
 5.71708774e+01 5.22460785e+01 4.81703667e+01 4.31259906e+01
 3.59434572e+01 3.24708699e+01 2.87160429e+01 2.49663838e+01]","[0.00239191 0.00220544 0.00227407 0.00227053 0.00243825 0.00288443
 0.00315997 0.00401648 0.00461981 0.00491673 0.00453367 0.00467437
 0.00463275 0.00470764 0.00489755 0.00538286 0.00554162 0.00608794
 0.00673595 0.00778787 0.00899414 0.00967404 0.01085637 0.01108148
 0.01191451 0.01200699 0.01259172 0.01340783 0.01360438 0.01436589
 0.01509036 0.01554567 0.01642931 0.0183253  0.0173361  0.01773963
 0.01753824 0.01864108 0.01934984 0.0213751  0.0218559  0.02283281
 0.02475872 0.02604235 0.02973674 0.03334311 0.03282008 0.03458634
 0.03282702 0.03489587 0.03739611 0.0386293  0.03848797 0.03833826
 0.04117012 0.03802661 0.03203566 0.03331684 0.03362216 0.03784934
 0.03998182 0.04152341 0.04264478 0.04396702 0.04444439 0.04918445
 0.05280728 0.05157113 0.05610936 0.06155571 0.07153473 0.08365674
 0.08670088 0.10910458 0.31836332 0.56551039 0.61092874 0.41658827
 0.22099904 0.13801749 0.12954422 0.12096097 0.12166413 0.13422798
 0.14117246 0.14467287 0.12808297 0.10362681 0.09590793 0.10430628
 0.1131852  0.10766373 0.09615494 0.08419218 0.07883442 0.07139201
 0.06263408 0.06693628 0.06457386 0.05872642]","[7.15389111e+03 1.65479403e+03 1.54914081e+03 1.20917119e+03
 6.37394340e+02 2.11747780e+02 8.27317961e+01 4.96498616e+01
 3.62933771e+01 2.39427735e+01 1.21320251e+01 8.34678135e+00
 4.75202709e+00 3.00718281e+00 1.93375120e+00 2.17283673e+00
 1.76031783e+00 1.93779565e+00 1.21405361e+00 1.57116496e+00
 1.34819260e+00 5.42595219e-01 7.02620358e-01 8.60915981e-01
 9.27067050e-01 3.93548749e-01 8.68605307e-01 8.27720675e-01
 8.47185472e-01 6.08707633e-01 5.06872894e-01 3.90345427e-01
 1.22336404e+00 1.44699201e+00 5.53355830e-01 4.00381225e-01
 2.91501410e-01 3.66600020e-01 2.73087360e-01 4.99799408e-01
 3.43040439e-01 3.92938715e-01 4.16256754e-01 3.51891394e-01
 6.18194025e-01 7.87481396e-01 3.70055560e-01 6.48348264e-01
 2.29335573e-01 2.93439694e-01 4.94897339e-01 4.27190506e-01
 3.06386633e-01 2.54789529e-01 3.90974940e-01 2.08276026e-01
 2.34439948e-01 2.23377808e-01 1.25928949e-01 1.42946970e-01
 2.29406164e-01 2.36074182e-01 2.32118708e-01 2.73990454e-01
 2.00167970e-01 2.91067272e-01 3.90353877e-01 3.68043265e-01
 3.33673342e-01 3.56692862e-01 8.99046139e-01 1.85661847e+00
 2.49947401e+00 7.47898484e+00 1.48187160e+02 5.43410573e+02
 6.42640042e+02 2.26826676e+02 4.73699344e+01 8.44385122e+00
 5.69184551e+00 3.88086577e+00 2.91758193e+00 3.22588145e+00
 2.97787143e+00 2.42012984e+00 2.07812788e+00 1.76614460e+00
 1.43969653e+00 1.06657370e+00 8.18415258e-01 6.62094400e-01
 5.63330437e-01 4.45042562e-01 3.24790542e-01 2.50606994e-01
 1.45215369e-01 1.13054962e-01 7.91624937e-02 6.00830829e-02]","[0.00242108 0.00234285 0.00227255 0.00236463 0.00246348 0.00315571
 0.00344631 0.00492801 0.00721713 0.00949158 0.00798286 0.01197939
 0.00906307 0.01107771 0.01126413 0.01708958 0.02113235 0.02831046
 0.02060647 0.03063351 0.02921978 0.01560118 0.02380715 0.03005746
 0.04267365 0.0205231  0.04895458 0.02004503 0.05867839 0.05113528
 0.04717869 0.04858217 0.15328445 0.18258781 0.09355104 0.08407587
 0.06840159 0.09606708 0.08573683 0.1634374  0.15733108 0.1990785
 0.21215389 0.20180586 0.35128461 0.4313868  0.23381346 0.25772442
 0.19780459 0.31842041 0.41098661 0.4646138  0.33898115 0.31894458
 0.20864972 0.00931757 0.00130793 0.00160533 0.00182439 0.05828691
 0.09963164 0.46049275 0.46834273 0.64036424 0.57989759 0.67687335
 0.80247426 0.81273286 0.8053912  0.86540178 0.93317837 0.97454516
 0.98183787 0.99461171 0.99960262 0.99988998 0.99992549 0.99983875
 0.9993479  0.99561889 0.76495362 0.9919919  0.97647341 0.97168363
 0.94982161 0.73516871 0.05460683 0.01446092 0.01190038 0.01796974
 0.26540737 0.53676321 0.056528   0.01511114 0.00970524 0.00573501
 0.00346704 0.01485387 0.37957569 0.59727482]","[1.87873106e+00 6.80322676e-01 4.47328494e-01 2.63916538e-01
 1.03145388e-01 9.88389314e-03 3.14769051e-03 9.69821768e-04
 1.07029271e-03 1.31289765e-03 8.77341846e-04 5.32622563e-04
 2.92754517e-04 2.91805152e-04 2.00267908e-04 1.70898968e-04
 1.41419172e-04 1.16661438e-04 1.08252805e-04 1.09607413e-04
 1.20975307e-04 1.33424377e-04 1.27399065e-04 1.24488227e-04
 1.25621648e-04 1.34614494e-04 1.27794599e-04 1.24568006e-04
 1.22620426e-04 1.32939731e-04 1.17397600e-04 1.22619783e-04
 1.41544776e-04 1.44691297e-04 1.69280771e-04 1.52829895e-04
 1.49486908e-04 1.56126867e-04 1.39045112e-04 1.38607312e-04
 1.46755095e-04 1.67736461e-04 1.79977538e-04 1.99454887e-04
 2.51992660e-04 2.91043894e-04 3.02207234e-04 2.93792882e-04
 3.25449162e-04 3.44795927e-04 3.89245641e-04 4.46912521e-04
 4.54971318e-04 4.84107439e-04 5.55984155e-04 6.16399802e-04
 6.61163937e-04 7.04578084e-04 6.67024764e-04 6.45305604e-04
 7.03778780e-04 7.59893284e-04 7.85338127e-04 7.88915577e-04
 8.20336231e-04 9.05005564e-04 9.33025775e-04 9.49092622e-04
 1.11694981e-03 1.29556400e-03 1.33799582e-03 1.49576987e-03
 1.60966441e-03 1.77855205e-03 2.19792243e-03 6.15072361e-03
 8.96660451e-03 2.51311300e-03 1.82083836e-03 1.60398115e-03
 1.57508471e-03 1.50887853e-03 1.48931064e-03 1.35831254e-03
 1.30887309e-03 1.37797464e-03 1.39018059e-03 1.38699306e-03
 1.34168030e-03 1.36103346e-03 1.33552941e-03 1.28445556e-03
 1.23234733e-03 1.11413738e-03 1.13217814e-03 1.04998330e-03
 1.02164529e-03 9.26075351e-04 8.39718815e-04 7.18407273e-04]","[0.00165386 0.00254909 0.00235704 0.00222818 0.00230001 0.00168892
 0.00232856 0.00139136 0.00219981 0.00393441 0.00339252 0.00286943
 0.00218297 0.00294173 0.00278289 0.00315952 0.00366393 0.00368726
 0.00416816 0.00495501 0.00637918 0.00753596 0.00788131 0.00820468
 0.00880767 0.00985588 0.00982478 0.0099046  0.01033125 0.01174094
 0.01066481 0.01167568 0.01428445 0.01538662 0.0191246  0.01838592
 0.01863165 0.01987177 0.01856709 0.01920026 0.02107249 0.02496579
 0.02747736 0.03188364 0.04068489 0.04742212 0.05013646 0.04960504
 0.05558435 0.05882373 0.06494669 0.07274188 0.07454034 0.07963677
 0.08950596 0.09614727 0.09936988 0.10788808 0.10422478 0.10110782
 0.10868271 0.11701786 0.12196725 0.12332393 0.12683382 0.1384656
 0.14176289 0.14205751 0.16158792 0.18090964 0.18520274 0.20286398
 0.21614047 0.23398109 0.27339724 0.51479465 0.60811083 0.30289426
 0.23820079 0.21546815 0.21274736 0.20444227 0.19899206 0.18174395
 0.17625272 0.18249111 0.17809766 0.15449865 0.14467734 0.16763794
 0.17339745 0.16953874 0.1634733  0.15086131 0.15385158 0.14506938
 0.14353258 0.13799071 0.12986355 0.1148564 ]"
